IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.105.140.105,443,443,true,LHR,Europe,GB,London,304,7.89
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,360,7.48
34.72.146.82,443,443,true,ORD,North America,US,Chicago,277,6.82
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,319,6.13
34.89.30.78,443,443,true,LHR,Europe,GB,London,270,5.39
34.89.91.99,443,443,true,LHR,Europe,GB,London,242,5.22
34.105.189.25,443,443,true,LHR,Europe,GB,London,325,5.19
34.89.30.78,443,443,true,LHR,Europe,GB,London,262,4.87
34.105.233.161,443,443,true,LHR,Europe,GB,London,316,4.81
34.89.30.78,443,443,true,LHR,Europe,GB,London,340,4.81
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,261,1.95
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,596,0.68
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,340,0.44
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,2,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,25,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,38,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,39,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,43,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,71,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,71,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,76,0.00
34.131.59.243,443,80,false,DEL,Asia Pacific,IN,New Delhi,76,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,77,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,85,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,96,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,118,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,127,0.00
34.149.177.121,80,80,false,SIN,Asia Pacific,SG,Singapore,132,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,133,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,135,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,141,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,142,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,145,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,148,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,152,0.00
34.117.105.161,80,80,false,SIN,Asia Pacific,SG,Singapore,156,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,158,0.00
34.105.124.126,80,80,false,SEA,North America,US,Seattle,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,159,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,160,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,165,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,165,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,166,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,167,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,169,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,172,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,172,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,173,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,174,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,174,0.00
34.49.1.210,80,80,false,SIN,Asia Pacific,SG,Singapore,176,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,179,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,180,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,183,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,184,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,185,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,185,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,185,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,189,0.00
34.19.114.86,80,80,false,SEA,North America,US,Seattle,191,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,193,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,193,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,194,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,194,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,195,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,200,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,200,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,204,0.00
35.232.39.116,80,80,false,DFW,North America,US,Dallas,208,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,208,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,209,0.00
35.200.100.7,8080,80,false,NRT,Asia Pacific,JP,Tokyo,210,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,216,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,216,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,217,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,217,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,217,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,220,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,221,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,222,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,223,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,224,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,225,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,230,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,230,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,232,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,233,0.00
34.19.114.86,443,80,false,SEA,North America,US,Seattle,234,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,236,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,236,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,236,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,238,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,241,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,243,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,243,0.00
34.68.11.207,80,80,false,ORD,North America,US,Chicago,245,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,247,0.00
35.184.226.235,80,80,false,ORD,North America,US,Chicago,248,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,250,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,250,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,253,0.00
34.68.11.207,8880,8880,false,ORD,North America,US,Chicago,256,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,262,0.00
34.68.11.207,8080,8080,false,ORD,North America,US,Chicago,267,0.00
104.196.221.253,80,80,false,ATL,North America,US,Atlanta,267,0.00
34.82.188.91,443,443,true,SEA,North America,US,Seattle,271,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,276,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,292,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,308,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,318,0.00
34.82.188.91,443,443,true,SEA,North America,US,Seattle,319,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,327,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,339,0.00
